Time,Frame,Proc_ms,Tiles,FPS
9.29,1,121.70,18,0.11
9.42,2,99.60,18,0.21
9.54,3,87.21,18,0.31
9.67,4,89.77,18,0.41
9.80,5,102.28,18,0.51
9.92,6,98.46,21,0.60
10.05,7,102.82,21,0.70
10.18,8,102.45,21,0.79
10.30,9,102.84,21,0.87
10.43,10,96.19,21,0.96
10.57,11,102.48,21,1.04
10.69,12,91.17,21,1.12
10.82,13,95.69,21,1.20
10.95,14,106.69,21,1.28
11.09,15,109.82,21,1.35
11.23,16,108.61,21,1.42
11.37,17,110.46,21,1.49
11.51,18,111.83,21,1.56
11.64,19,116.45,21,1.63
11.79,20,124.70,21,1.70
11.93,21,98.99,21,1.76
12.08,22,114.34,21,1.82
12.21,23,102.02,21,1.88
12.34,24,95.35,21,1.95
12.46,25,95.98,21,2.01
12.58,26,91.52,21,2.07
12.70,27,92.12,21,2.13
12.81,28,81.17,21,2.19
12.92,29,82.20,21,2.24
13.06,30,97.75,21,2.30
13.18,31,102.11,21,2.35
13.30,32,102.52,24,2.41
13.44,33,112.47,24,2.46
13.56,34,99.99,24,2.51
13.68,35,102.45,24,2.56
13.81,36,101.82,24,2.61
13.95,37,102.58,24,2.65
14.08,38,96.44,24,2.70
14.20,39,93.89,24,2.75
14.34,40,101.11,24,2.79
14.47,41,102.16,24,2.83
14.60,42,113.36,24,2.88
14.72,43,92.82,24,2.92
14.85,44,98.96,24,2.96
14.98,45,105.36,24,3.00
15.10,46,92.23,24,3.05
15.23,47,101.80,24,3.09
15.36,48,103.79,24,3.12
15.50,49,112.58,24,3.16
15.63,50,104.75,24,3.20
15.74,51,91.91,24,3.24
15.87,52,103.41,24,3.28
16.02,53,111.61,27,3.31
16.11,54,45.25,27,3.35
16.22,55,83.51,27,3.39
16.33,56,86.76,27,3.43
16.44,57,84.22,27,3.47
16.62,58,153.02,33,3.49
21.77,59,116.00,33,2.71
21.88,60,84.70,33,2.74
22.01,61,101.70,33,2.77
22.14,62,108.68,33,2.80
22.27,63,107.09,33,2.83
22.44,64,113.26,33,2.85
22.59,65,123.04,33,2.88
22.75,66,126.91,33,2.90
22.91,67,132.87,33,2.92
23.07,68,133.32,33,2.95
23.22,69,123.89,33,2.97
23.38,70,133.20,33,2.99
23.54,71,124.20,33,3.02
23.69,72,133.59,33,3.04
23.85,73,133.21,33,3.06
24.00,74,129.22,33,3.08
24.16,75,132.63,33,3.10
24.31,76,115.91,33,3.13
24.47,77,134.84,33,3.15
24.62,78,133.46,33,3.17
24.78,79,123.76,33,3.19
24.93,80,132.88,33,3.21
25.10,81,143.37,33,3.23
25.24,82,124.79,33,3.25
25.40,83,133.24,33,3.27
25.56,84,133.35,33,3.29
25.71,85,133.23,33,3.31
25.88,86,143.12,33,3.32
26.03,87,135.10,33,3.34
26.19,88,126.43,33,3.36
26.34,89,133.85,33,3.38
26.49,90,133.30,33,3.40
26.66,91,133.37,33,3.41
26.82,92,138.98,33,3.43
26.97,93,133.97,33,3.45
27.12,94,133.60,33,3.47
27.27,95,123.92,33,3.48
27.43,96,132.57,33,3.50
27.58,97,132.87,33,3.52
27.73,98,132.82,33,3.53
27.89,99,133.48,33,3.55
28.04,100,123.39,33,3.57
28.20,101,120.05,33,3.58
28.35,102,122.35,33,3.60
28.51,103,134.31,33,3.61
28.67,104,133.58,33,3.63
28.81,105,122.58,33,3.64
28.98,106,134.46,33,3.66
29.12,107,122.65,33,3.67
29.28,108,127.01,33,3.69
29.43,109,132.88,33,3.70
29.59,110,134.37,33,3.72
29.73,111,123.39,33,3.73
29.90,112,132.33,33,3.75
30.05,113,131.79,33,3.76
30.17,114,81.44,33,3.78
30.30,115,102.87,33,3.80
30.42,116,113.94,33,3.81
30.55,117,113.03,33,3.83
30.71,118,128.50,33,3.84
35.84,119,127.68,33,3.32
35.95,120,97.24,33,3.34
36.08,121,100.36,33,3.35
36.21,122,104.29,33,3.37
36.34,123,117.14,33,3.38
36.52,124,139.87,33,3.39
36.68,125,133.74,33,3.41
36.83,126,126.43,33,3.42
36.99,127,127.53,33,3.43
37.13,128,111.79,33,3.45
37.29,129,133.75,33,3.46
37.45,130,142.20,33,3.47
37.61,131,136.81,33,3.48
37.75,132,127.14,33,3.50
37.91,133,126.54,33,3.51
38.07,134,140.84,33,3.52
38.23,135,143.73,33,3.53
38.39,136,126.97,33,3.54
38.55,137,127.47,33,3.55
